filename,width,height,class,xmin,ymin,xmax,ymax
162.jpg,1154,570,Wiper fluid,174,502,262,565
162.jpg,1154,570,Coolant,96,432,285,567
162.jpg,1154,570,Battery,194,79,388,175
162.jpg,1154,570,Engine cover,358,70,850,475
162.jpg,1154,570,Oil intake,738,248,816,303
162.jpg,1154,570,Oil pin,854,326,888,379
162.jpg,1154,570,Air filter,818,346,1124,557
162.jpg,1154,570,Brake fluid,853,99,916,161
88.jpg,1180,538,Coolant,26,133,199,303
88.jpg,1180,538,Oil intake,238,212,320,279
88.jpg,1180,538,Engine cover,323,245,718,350
88.jpg,1180,538,Oil pin,379,299,432,356
88.jpg,1180,538,Wiper fluid,102,438,222,509
88.jpg,1180,538,Brake fluid,716,111,798,235
88.jpg,1180,538,Battery,801,167,1122,412
88.jpg,1180,538,Air filter,340,36,712,211
610.jpg,1164,592,Engine cover,337,5,830,339
610.jpg,1164,592,Oil intake,798,220,863,294
610.jpg,1164,592,Coolant,839,3,1034,196
610.jpg,1164,592,Air filter,5,278,251,516
610.jpg,1164,592,Air filter,901,282,1164,510
610.jpg,1164,592,Wiper fluid,16,12,93,59
189.jpg,1074,532,Coolant,49,47,264,148
189.jpg,1074,532,Wiper fluid,25,304,119,362
189.jpg,1074,532,Oil intake,240,228,319,329
189.jpg,1074,532,Engine cover,292,82,663,268
189.jpg,1074,532,Oil pin,704,278,746,325
189.jpg,1074,532,Air filter,809,213,1074,365
166.jpg,1064,472,Air filter,110,172,329,383
166.jpg,1064,472,Engine cover,375,144,683,323
166.jpg,1064,472,Oil pin,521,270,552,310
166.jpg,1064,472,Oil intake,626,212,680,262
166.jpg,1064,472,Brake fluid,635,46,705,112
166.jpg,1064,472,Coolant,694,40,807,108
166.jpg,1064,472,Battery,778,103,975,246
166.jpg,1064,472,Fuse box,851,62,1006,178
166.jpg,1064,472,Wiper fluid,959,165,1007,217
180.jpg,1200,614,Brake fluid,36,37,189,138
180.jpg,1200,614,Engine cover,300,127,719,318
180.jpg,1200,614,Oil intake,568,132,638,181
180.jpg,1200,614,Oil pin,446,340,519,399
180.jpg,1200,614,Coolant,775,291,1005,492
180.jpg,1200,614,Wiper fluid,1015,316,1080,373
180.jpg,1200,614,Battery,847,58,1066,321
180.jpg,1200,614,Fuse box,1030,84,1180,290
154.jpg,1136,512,Oil pin,397,164,438,211
154.jpg,1136,512,Oil intake,481,155,538,198
154.jpg,1136,512,Wiper fluid,113,258,181,305
154.jpg,1136,512,Battery,771,257,1002,422
154.jpg,1136,512,Fuse box,870,131,1053,222
154.jpg,1136,512,Brake fluid,802,50,905,115
154.jpg,1136,512,Coolant,257,381,316,422
20.jpg,622,1280,Battery,304,743,616,1153
20.jpg,622,1280,Coolant,137,901,230,1096
20.jpg,622,1280,Wiper fluid,256,357,321,400
6.jpg,1198,646,Engine cover,275,183,697,327
6.jpg,1198,646,Oil pin,474,316,516,349
6.jpg,1198,646,Oil intake,339,253,398,298
6.jpg,1198,646,Battery,796,220,970,342
6.jpg,1198,646,Fuse box,1013,250,1189,471
6.jpg,1198,646,Air filter,862,349,1057,547
6.jpg,1198,646,Wiper fluid,60,406,124,451
6.jpg,1198,646,Coolant,92,379,190,524
6.jpg,1198,646,Brake fluid,826,172,923,234
566.jpg,1186,636,Air filter,38,268,312,515
566.jpg,1186,636,Coolant,856,230,1111,353
566.jpg,1186,636,Wiper fluid,1040,344,1177,495
566.jpg,1186,636,Brake fluid,301,117,401,239
566.jpg,1186,636,Engine cover,501,168,690,364
566.jpg,1186,636,Oil intake,617,277,676,323
566.jpg,1186,636,Battery,747,68,966,243
566.jpg,1186,636,Fuse box,157,57,297,132
44.jpg,1280,720,Engine cover,288,193,824,537
44.jpg,1280,720,Oil pin,533,451,605,518
44.jpg,1280,720,Oil intake,607,216,686,282
44.jpg,1280,720,Wiper fluid,138,312,270,390
44.jpg,1280,720,Coolant,127,234,274,333
44.jpg,1280,720,Air filter,838,344,1171,493
44.jpg,1280,720,Battery,1021,225,1245,363
599.jpg,1192,508,Battery,63,285,309,422
599.jpg,1192,508,Fuse box,9,187,199,338
599.jpg,1192,508,Wiper fluid,995,334,1082,404
599.jpg,1192,508,Engine cover,499,230,839,374
599.jpg,1192,508,Oil intake,521,224,582,281
45.jpg,1024,576,Oil pin,450,369,492,409
45.jpg,1024,576,Engine cover,296,86,641,333
45.jpg,1024,576,Brake fluid,228,74,308,144
45.jpg,1024,576,Coolant,664,285,858,437
45.jpg,1024,576,Battery,760,147,963,348
45.jpg,1024,576,Fuse box,783,91,974,194
45.jpg,1024,576,Wiper fluid,991,104,1024,153
7.jpg,1476,1094,Engine cover,542,251,852,471
7.jpg,1476,1094,Battery,20,75,367,270
7.jpg,1476,1094,Oil pin,346,666,423,738
7.jpg,1476,1094,Air filter,395,753,852,991
7.jpg,1476,1094,Coolant,200,922,399,1082
7.jpg,1476,1094,Wiper fluid,1348,670,1466,801
7.jpg,1476,1094,Oil intake,1110,611,1200,710
7.jpg,1476,1094,Fuse box,3,439,199,822
7.jpg,1476,1094,Brake fluid,1080,165,1194,289
567.jpg,1184,542,Coolant,27,107,235,261
567.jpg,1184,542,Brake fluid,219,61,365,135
567.jpg,1184,542,Oil pin,338,377,392,445
567.jpg,1184,542,Oil intake,317,126,378,177
567.jpg,1184,542,Battery,800,115,1079,314
567.jpg,1184,542,Wiper fluid,1059,174,1116,234
573.jpg,1204,608,Wiper fluid,34,310,120,412
573.jpg,1204,608,Brake fluid,200,69,314,188
573.jpg,1204,608,Engine cover,246,148,683,426
573.jpg,1204,608,Oil intake,491,197,556,257
573.jpg,1204,608,Oil pin,382,213,434,255
573.jpg,1204,608,Air filter,729,93,977,356
573.jpg,1204,608,Fuse box,989,182,1201,283
573.jpg,1204,608,Battery,866,329,1120,545
573.jpg,1204,608,Coolant,205,490,265,538
21.jpg,622,1280,Battery,152,1019,501,1263
21.jpg,622,1280,Wiper fluid,106,1,234,77
21.jpg,622,1280,Coolant,47,1080,127,1200
21.jpg,622,1280,Brake fluid,539,75,622,162
155.jpg,1188,540,Air filter,54,248,303,462
155.jpg,1188,540,Coolant,199,51,325,218
155.jpg,1188,540,Wiper fluid,78,11,217,195
155.jpg,1188,540,Brake fluid,836,4,936,116
155.jpg,1188,540,Battery,874,140,1136,351
155.jpg,1188,540,Fuse box,895,348,1162,480
155.jpg,1188,540,Oil intake,357,232,416,275
155.jpg,1188,540,Engine cover,368,1,836,382
181.jpg,1064,456,Coolant,76,102,184,228
181.jpg,1064,456,Wiper fluid,31,175,99,265
181.jpg,1064,456,Brake fluid,643,54,709,119
181.jpg,1064,456,Battery,699,77,852,203
181.jpg,1064,456,Fuse box,831,105,984,224
181.jpg,1064,456,Air filter,797,199,946,354
76.jpg,4032,3024,Coolant,568,1717,1217,2197
76.jpg,4032,3024,Brake fluid,704,1342,1110,1610
76.jpg,4032,3024,Air filter,1785,1297,2727,1871
76.jpg,4032,3024,Wiper fluid,3065,1804,3427,1994
188.jpg,1152,560,Brake fluid,283,51,368,134
188.jpg,1152,560,Coolant,94,172,309,273
188.jpg,1152,560,Air filter,53,260,296,449
188.jpg,1152,560,Battery,799,271,1057,474
188.jpg,1152,560,Oil intake,602,218,661,267
62.jpg,1104,460,Engine cover,388,84,661,180
62.jpg,1104,460,Air filter,689,107,946,228
62.jpg,1104,460,Fuse box,923,125,1040,286
62.jpg,1104,460,Battery,765,220,981,324
62.jpg,1104,460,Coolant,854,334,908,399
62.jpg,1104,460,Wiper fluid,121,313,177,376
62.jpg,1104,460,Brake fluid,119,170,207,236
62.jpg,1104,460,Oil pin,391,243,427,292
